iter	Passed	Remaining
776	13118	3765
777	13132	3747
778	13146	3729
779	13159	3711
780	13172	3693
781	13187	3676
782	13201	3658
783	13215	3640
784	13229	3623
785	13243	3605
786	13257	3588
787	13270	3570
788	13284	3552
789	13299	3535
790	13314	3517
791	13328	3500
792	13341	3482
793	13355	3465
794	13368	3447
795	13382	3429
796	13397	3412
797	13412	3395
798	13426	3377
799	13440	3360
800	13454	3342
801	13467	3324
802	13481	3307
803	13495	3289
804	13509	3272
805	13524	3255
806	13537	3237
807	13551	3220
808	13564	3202
809	13578	3184
810	13591	3167
811	13606	3150
812	13620	3132
813	13634	3115
814	13648	3098
815	13661	3080
816	13675	3063
817	13689	3045
818	13704	3028
819	13719	3011
820	13734	2994
821	13748	2977
822	13761	2959
823	13774	2942
824	13788	2924
825	13801	2907
826	13815	2890
827	13829	2872
828	13843	2855
829	13856	2838
830	13870	2820
831	13884	2803
832	13898	2786
833	13911	2769
834	13926	2751
835	13940	2734
836	13954	2717
837	13968	2700
838	13983	2683
839	13997	2666
840	14012	2649
841	14026	2631
842	14039	2614
843	14053	2597
844	14068	2580
845	14083	2563
846	14097	2546
847	14110	2529
848	14124	2512
849	14138	2494
850	14151	2477
851	14164	2460
852	14177	2443
853	14192	2426
854	14207	2409
855	14221	2392
856	14235	2375
857	14249	2358
858	14263	2341
859	14276	2324
860	14292	2307
861	14308	2290
862	14325	2274
863	14341	2257
864	14357	2240
865	14373	2224
866	14388	2207
867	14405	2190
868	14420	2173
869	14437	2157
870	14450	2140
871	14464	2123
872	14478	2106
873	14492	2089
874	14505	2072
875	14519	2055
876	14533	2038
877	14546	2021
878	14561	2004
879	14575	1987
880	14588	1970
881	14602	1953
882	14617	1936
883	14630	1919
884	14645	1903
885	14659	1886
886	14672	1869
887	14685	1852
888	14699	1835
889	14714	1818
890	14727	1801
891	14741	1784
892	14754	1767
893	14767	1750
894	14781	1734
895	14794	1717
896	14809	1700
897	14823	1683
898	14837	1666
899	14850	1650
900	14864	1633
901	14878	1616
902	14892	1599
903	14906	1582
904	14920	1566
905	14934	1549
906	14947	1532
907	14962	1515
908	14977	1499
909	14992	1482
910	15009	1466
911	15024	1449
912	15040	1433
913	15057	1416
914	15072	1400
915	15088	1383
916	15103	1367
917	15118	1350
918	15134	1333
919	15150	1317
920	15166	1300
921	15181	1284
922	15195	1267
923	15209	1251
924	15225	1234
925	15241	1217
926	15255	1201
927	15271	1184
928	15287	1168
929	15302	1151
930	15316	1135
931	15330	1118
932	15344	1101
933	15358	1085
934	15373	1068
935	15390	1052
936	15407	1035
937	15422	1019
938	15439	1002
939	15454	986
940	15469	969
941	15484	953
942	15498	936
943	15513	920
944	15528	903
945	15543	887
946	15559	870
947	15572	854
948	15588	837
949	15603	821
950	15618	804
951	15635	788
952	15650	771
953	15664	755
954	15679	738
955	15695	722
956	15710	705
957	15724	689
958	15738	672
959	15752	656
960	15766	639
961	15780	623
962	15795	606
963	15809	590
964	15823	573
965	15839	557
966	15852	540
967	15866	524
968	15880	508
969	15893	491
970	15906	475
971	15920	458
972	15934	442
973	15947	425
974	15961	409
975	15974	392
976	15987	376
977	16000	359
978	16014	343
979	16028	327
980	16040	310
981	16054	294
982	16067	277
983	16081	261
984	16096	245
985	16111	228
986	16124	212
987	16139	196
988	16151	179
989	16164	163
990	16179	146
991	16192	130
992	16206	114
993	16219	97
994	16233	81
995	16246	65
996	16260	48
997	16274	32
998	16288	16
999	16301	0
